Partlist

Exported from mini_detector_07.brd at 2024/03/11 18:59

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value           Package                 Position (mm)         Orientation

C1       0.01u           C1608                   (40.64 48.26)         R180
C2       0.01u           C1608                   (40.64 44.704)        R180
C3       0.01u           C0603                   (44.196 40.64)        R270
C4       100p            C0603                   (47.244 37.084)       R270
C5       2200p           C0603                   (47.752 34.036)       R180
C6       2200p           C0603                   (52.832 20.828)       R180
C11      2.2u            C3216                   (42.156 36.076)       MR90
C12      0.01u           C1608                   (44.696 35.06)        MR90
C13      2.2u            C3216                   (35.568 43.68)        MR90
C14      0.01u           C1608                   (38.108 42.664)       MR90
C15      2.2u            C3216                   (44.196 12.7)         MR270
C16      0.01u           C1608                   (46.736 13.716)       MR270
C17      2.2u            C3216                   (35.052 24.384)       MR0
C18      0.01u           C1608                   (35.56 21.844)        MR0
C19      2.2u            C3216                   (29.972 39.116)       MR0
C20      0.01u           C1608                   (30.48 41.656)        MR0
C21      2.2u            C3216                   (23.368 42.164)       MR0
C22      0.01u           C1608                   (24.384 39.624)       MR0
C23      2.2u            C3216                   (14.724 42.918)       MR180
C24      0.01u           C1608                   (14.224 45.212)       MR180
C25      2.2u            C3216                   (23.368 53.34)        MR180
C26      0.01u           C1608                   (22.352 55.88)        MR180
C28      2.2u            C3216                   (21.844 22.352)       MR0
C29      2.2u            C3216                   (23.122 27.44)        MR270
C31      2.2u            C3216                   (41.656 67.564)       MR180
C32      0.01u           C1608                   (41.656 70.104)       MR180
C33      0.01u           C1608                   (27.94 56.896)        R0
C34      0.1u            C1608                   (33.02 67.056)        R90
C35      0.1u            C1608                   (39.624 60.96)        R90
C36      0.22u           C3216                   (42.164 55.372)       R0
C37      0.22u           C3216                   (42.164 57.912)       R180
C38      0.01u           C1608                   (25.908 65.024)       R0
C39      0.22u           C3216                   (48.26 50.8)          R0
D1       1N4148W         SOD3715X135             (48.26 23.368)        R180
D2       1N4148W         SOD3715X135             (48.26 20.828)        R180
J1       SMA_SOCKET      SMA_SOCKET              (50.292 43.688)       R0
J2       RPI2_GPIO_HOLES RPI2_GPIO_HOLES         (28.06 41.91)         R90
JP1      2.1MMJACKTHM    PJ-102A                 (13.47 4.318)         R180
L1       CORE            R0603                   (22.352 19.812)       MR180
L2       CORE            R0603                   (20.328 26.154)       MR180
L3       6.8u            LBR2518_TAY             (42.164 64.516)       MR90
LED1     LOG             LED_1608                (39.624 78.232)       R180
LED2     GPS             LED_1608                (36.576 78.232)       R180
LED3     PWR             LED_1608                (33.528 78.232)       R180
LED4     PWR             LED_1608                (30.48 78.232)        R180
LED5     PWR             LED_1608                (27.432 78.232)       R180
Q1       SSM3K318R       SOT23                   (53.34 13.208)        R0
R1       50              R0603                   (44.196 51.308)       R90
R2       50              R0603                   (44.196 47.752)       R90
R3       1k              R0603                   (44.196 44.196)       R90
R4       100k            R0603                   (44.204 37.076)       R270
R5       1M              R0603                   (45.212 34.036)       R270
R6       10k             R0603                   (40.64 13.208)        R0
R7       51              R0603                   (52.832 18.288)       R180
R8       1k              R0603                   (49.276 12.192)       R180
R11      150             R0603                   (39.624 74.168)       R90
R12      150             R0603                   (36.576 74.168)       R90
R13      150             R0603                   (33.528 74.168)       R90
R14      150             R0603                   (30.48 74.168)        R90
R15      150             R0603                   (27.432 74.168)       R90
R16      330             R0603                   (36.33 10.93)         MR90
R17      330             R0603                   (39.632 10.93)        MR90
R18      36k             R0603                   (28.956 50.292)       R180
R19      12k             R0603                   (28.956 47.752)       R180
R20      100k            R0603                   (27.94 59.436)        R180
R21      100k            R0603                   (36.068 67.056)       R90
R22      10k             R0603                   (27.94 54.356)        R180
R23      1M              R0603                   (25.908 67.056)       R180
R24      15k             R0603                   (29.464 67.056)       R180
R25      1k              R0603                   (27.94 61.976)        R0
SW1      TL3301          TL3301                  (7.12 78.24)          R0
SW2      J202011JCQN     J202011JCQN             (18.804 77.224)       R0
U1       ADA4891         SOIC8                   (39.632 35.568)       R180
U2       ADA4891         SOIC8                   (41.148 19.304)       R180
U3       TL072CDR        SOIC8                   (29.464 40.64)        R180
U4       MCP4726A0T-E/CH SOT-23-6_MC_MCH         (23.876 49.276)       R270
U5       MCP3208-CI/SL   SOIC-16(150MIL)(1.27MM) (15.24 48.768)        R90
U6       LT3482IUDTRPBF  QFN-16_UD_LIT           (33.528 59.436)       R90
U7       CRE1S0505SC     CRE1_3C_MUR             (16.764 21.336)       MR90
VR1      5k              ADJRP3-9.70XW5.0X9.80MM (45.72 28.448)        R90
